hotel,auteur,n_avis,score_moy,score_max,centralite
BW_Bretagne,Nicole Zwanziger,1,0.5419462057035811,0.5419462057035811,0.6912133891213389
BW_Bretagne,Romain CAZAJOUS,1,0.5397080660332383,0.5397080660332383,0.6902719665271966
BW_Bretagne,afua bae,1,0.5391192611561794,0.5391192611561794,0.6899581589958158
BW_Bretagne,975magb,1,0.5218293031352063,0.5218293031352063,0.6846234309623431
BW_Bretagne,Martine Mairal,1,0.5140675458215587,0.5140675458215587,0.6805439330543933
BW_Bretagne,cassandra montagnino,1,0.5102587228406179,0.5102587228406179,0.6777196652719665
BW_Bretagne,Erikoesterberg,1,0.5054385667702883,0.5054385667702883,0.6730125523012552
BW_Bretagne,R Cappello,1,0.5047088957409464,0.5047088957409464,0.6714435146443514
BW_Bretagne,Holly King,1,0.5026545049307303,0.5026545049307303,0.6686192468619246
BW_Bretagne,Yvonne A.,1,0.5013315676154386,0.5013315676154386,0.6657949790794979
BW_Bretagne,Emilie Bolatre,1,0.4962784284907855,0.4962784284907855,0.6579497907949791
BW_Bretagne,Lea Pelanne,1,0.4946319746261411,0.4946319746261411,0.6544979079497908
BW_Bretagne,Alina Petrova,1,0.4934341839268219,0.4934341839268219,0.6523012552301255
BW_Bretagne,Phil,1,0.4906068519487132,0.4906068519487132,0.6469665271966527
BW_Bretagne,Christine Evers,1,0.4900954565718344,0.4900954565718344,0.6460251046025104
BW_Bretagne,Relax654158,1,0.4898388467871476,0.4898388467871476,0.6447698744769874
BW_Bretagne,Sanae BOUALLOU,1,0.4894624754589116,0.4894624754589116,0.6438284518828451
BW_Bretagne,josib706,1,0.4877624718619317,0.4877624718619317,0.6372384937238493
BW_Bretagne,Rerovie,1,0.4877046781708894,0.4877046781708894,0.6369246861924686
BW_Bretagne,J CONSTANTIN,1,0.4872317122596261,0.4872317122596261,0.6353556485355648
BW_Bretagne,Aghasi Baghramyan,1,0.4867464336251596,0.4867464336251596,0.6347280334728034
BW_Bretagne,Gonzalo Martin,1,0.4852395891753159,0.4852395891753159,0.6284518828451883
BW_Bretagne,Derek,1,0.4851609351931268,0.4851609351931268,0.6278242677824267
BW_Bretagne,Marine Ca,1,0.4842788054407921,0.4842788054407921,0.6246861924686192
BW_Bretagne,Trip.com Member,3,0.42258883897242927,0.4713222304512879,0.622907949790795
BW_Bretagne,Rafag71,1,0.4835215360338974,0.4835215360338974,0.6221757322175732
BW_Bretagne,Paula Amaral,1,0.4832555388740073,0.4832555388740073,0.6215481171548116
BW_Bretagne,Jerry Gannon,1,0.4831024049125638,0.4831024049125638,0.6212343096234308
BW_Bretagne,Stéphanie B,1,0.4826855961712649,0.4826855961712649,0.6196652719665271
BW_Bretagne,pierreyvesb975,1,0.4826420588742258,0.4826420588742258,0.6190376569037657
BW_Bretagne,Frédéric VOUAUX,1,0.4825330461412762,0.4825330461412762,0.6180962343096233
BW_Bretagne,Benjamin,1,0.4822532657868975,0.4822532657868975,0.6177824267782427
BW_Bretagne,Marie Ozil,1,0.4820256937432094,0.4820256937432094,0.6168410041841004
BW_Bretagne,turkka27,1,0.482019949982286,0.482019949982286,0.6165271966527196
BW_Bretagne,Barnabé Gillet,1,0.4816728975857175,0.4816728975857175,0.6146443514644351
BW_Bretagne,Estelle Jourdan,1,0.4812215984270755,0.4812215984270755,0.6115062761506276
BW_Bretagne,pilipsiqi,1,0.4810890830152035,0.4810890830152035,0.6105648535564854
BW_Bretagne,Alexsandre1404,1,0.4804700047376536,0.4804700047376536,0.6077405857740585
BW_Bretagne,Daniel Llorca,1,0.4802063282531161,0.4802063282531161,0.607112970711297
BW_Bretagne,Jean-Pierre Cusumano,1,0.4793933737055874,0.4793933737055874,0.6030334728033472
BW_Bretagne,Adrien Durand-Raucher,1,0.4793890874318336,0.4793890874318336,0.6027196652719664
BW_Bretagne,Yanjela,1,0.4793342101859494,0.4793342101859494,0.602092050209205
BW_Bretagne,Chirley RAYMOND,1,0.4788586409182354,0.4788586409182354,0.6005230125523012
BW_Bretagne,Pierre-Yves BASTARD,1,0.4779777482588638,0.4779777482588638,0.5964435146443514
BW_Bretagne,Sergioparatodos,1,0.4758146333876868,0.4758146333876868,0.5879707112970711
BW_Bretagne,claire gouverith,1,0.4756115215638929,0.4756115215638929,0.5870292887029288
BW_Bretagne,53b_rbaras,1,0.4743565866863476,0.4743565866863476,0.5807531380753138
BW_Bretagne,Alpha Bravo,1,0.474324337417735,0.474324337417735,0.5801255230125523
BW_Bretagne,Christophe Ccy,1,0.4741152397747161,0.4741152397747161,0.5782426778242677
BW_Bretagne,813dominiquek,1,0.4729987890108579,0.4729987890108579,0.5722803347280335
BW_Bretagne,Audrey Monchaux,1,0.4726623883265918,0.4726623883265918,0.5703974895397489
BW_Bretagne,Marilyn Robin,1,0.4726437460013842,0.4726437460013842,0.5700836820083681
BW_Bretagne,Michal Przygodzki,1,0.4723946342794086,0.4723946342794086,0.5685146443514644
BW_Bretagne,490carlal,1,0.4719249739949324,0.4719249739949324,0.5656903765690376
BW_Bretagne,Jean-Marc CHANCEREL,1,0.4713032766762453,0.4713032766762453,0.5638075313807531
BW_Bretagne,馬島八世,1,0.4705300474281572,0.4705300474281572,0.5591004184100418
BW_Bretagne,Charlotte C.,1,0.4704935559223663,0.4704935559223663,0.5584728033472803
