macro_topic,n,mean_z,pct_influents,pct
Accueil / Service,470,0.6606382978723404,0.12127659574468085,0.24214322514167955
Chambre / Confort,436,0.17545871559633028,0.07110091743119266,0.22462648119526019
Localisation / Transports,427,0.6381733021077284,0.0702576112412178,0.2199896960329727
Petit-déjeuner,262,0.4312977099236641,0.0648854961832061,0.1349819680577022
Salle de bain,147,0.22448979591836735,0.1564625850340136,0.07573415765069552
Propreté,112,0.6339285714285714,0.0625,0.05770221535291087
Rapport qualité-prix,87,0.47701149425287354,0.3448275862068966,0.04482225656877898
